dayofweek,home_team,score,away_team
Sáb,Guadalajara,0–4,UANL
Sáb,Monterrey,0–3,América
Dom,Santos,5–1,FC Juárez
Dom,Tijuana,2–0,Atlas
Mar,Toluca,0–1,Puebla
Mar,Querétaro,1–2,Guadalajara
Mar,Monterrey,3–0,Necaxa
Mar,León,1–1,UNAM
Mié,Cruz Azul,2–0,FC Juárez
Mié,Atlas,0–2,Pachuca
Mié,Mazatlán,3–1,Santos
Mié,Tijuana,2–0,UANL
Mié,Atlético,0–1,América
Sáb,UANL,2–2,Atlético
Vie,Puebla,5–4,León
Dom,UNAM,3–0,Atlas
Dom,Necaxa,4–0,Mazatlán
Sáb,América,3–0,Tijuana
Sáb,Pachuca,0–2,Monterrey
Sáb,Guadalajara,1–0,Cruz Azul
Dom,Santos,3–1,Toluca
Dom,FC Juárez,0–3,Querétaro
Mié,Monterrey,3–0,Santos
Sáb,Querétaro,0–0,Monterrey
Sáb,Atlético,0–2,Santos
Vie,Mazatlán,1–0,Toluca
Vie,Atlas,0–0,Necaxa
Vie,Tijuana,2–3,Pachuca
Sáb,UNAM,1–0,Guadalajara
Sáb,UANL,0–0,América
Dom,Cruz Azul,1–2,Puebla
Dom,León,2–1,FC Juárez
Jue,Atlético,3–2,León
Jue,Santos,2–1,Mazatlán
Dom,León,3–2,Santos
Mié,León,2–2,América
Mié,Atlético,1–0,Monterrey
Jue,Puebla,2–2,UANL
Jue,Guadalajara,1–0,UNAM
Sáb,América,2–0,León
Sáb,Monterrey,1–1,Atlético
Dom,UNAM,3–0,Guadalajara
Dom,UANL,3–0,Puebla
Mié,Atlético,0–5,América
Jue,UNAM,0–1,UANL
Sáb,América,0–2,Atlético
Dom,UANL,1–1,UNAM
Jue,UANL,1–1,América
Dom,América,3–0,UANL
Vie,Querétaro,2–2,Toluca
Vie,Mazatlán,0–1,Atlético
Dom,UNAM,1–0,FC Juárez
Sáb,Cruz Azul,0–1,Pachuca
Sáb,Tijuana,0–2,América
Sáb,Guadalajara,1–1,Santos
Sáb,Monterrey,2–0,Puebla
Dom,Necaxa,2–1,Atlas
Mié,León,1–2,UANL
Sáb,Toluca,4–1,Mazatlán
Vie,Puebla,1–2,Necaxa
Vie,FC Juárez,0–0,Cruz Azul
Vie,Atlético,3–1,UNAM
Sáb,América,2–0,Querétaro
Sáb,Atlas,0–0,Tijuana
Dom,UANL,1–0,Guadalajara
Dom,Santos,0–2,Monterrey
Mié,Monterrey,1–1,Querétaro
Mié,Atlético,1–2,UANL
Mié,FC Juárez,0–2,América
Sáb,Cruz Azul,2–1,Mazatlán
Sáb,León,3–2,Santos
Vie,Tijuana,1–1,Guadalajara
Vie,Puebla,1–1,Toluca
Dom,UNAM,3–1,Pachuca
Sáb,Monterrey,3–1,Atlético
Sáb,Necaxa,0–0,América
Dom,Atlas,2–1,FC Juárez
Dom,Querétaro,1–1,UANL
Mar,Mazatlán,2–2,León
Mar,Cruz Azul,1–0,Tijuana
Mar,Santos,3–0,Puebla
Mar,Guadalajara,3–2,Toluca
Mié,Pachuca,4–3,Atlas
Mié,UNAM,2–2,Necaxa
Sáb,FC Juárez,2–2,Necaxa
Sáb,Toluca,4–1,León
Vie,Querétaro,1–3,Cruz Azul
Vie,Puebla,3–2,Mazatlán
Sáb,UANL,2–2,UNAM
Sáb,Pachuca,3–2,Tijuana
Sáb,América,1–1,Monterrey
Dom,Atlas,3–0,Santos
Dom,Atlético,0–2,Guadalajara
Mié,Pachuca,3–2,León
Sáb,Necaxa,3–3,Toluca
Sáb,Guadalajara,2–1,FC Juárez
Vie,Mazatlán,2–0,Atlas
Vie,Tijuana,1–1,Querétaro
Dom,UNAM,3–0,Puebla
Sáb,León,0–1,América
Sáb,Cruz Azul,3–0,Atlético
Sáb,Monterrey,3–2,Pachuca
Sáb,Santos,0–3,UANL
Mié,Atlas,0–0,UNAM
Sáb,Atlético,3–3,Tijuana
Vie,Querétaro,1–1,Necaxa
Vie,Mazatlán,2–2,Guadalajara
Dom,Atlas,0–1,León
Sáb,Pachuca,2–1,América
Sáb,Cruz Azul,1–0,UANL
Dom,UNAM,3–0,Santos
Dom,Monterrey,0–0,Toluca
Mar,Puebla,1–4,Pachuca
Mar,Necaxa,1–0,Guadalajara
Mié,Toluca,1–0,Santos
Mié,León,2–3,Cruz Azul
Mié,América,2–2,Mazatlán
Sáb,León,1–0,Atlético
Vie,Puebla,0–2,Querétaro
Vie,FC Juárez,0–3,Monterrey
Vie,Necaxa,1–1,Pachuca
Dom,Toluca,2–0,Tijuana
Sáb,UANL,1–1,Atlas
Sáb,Guadalajara,3–1,UNAM
Sáb,América,1–0,Cruz Azul
Dom,Santos,1–0,Mazatlán
Mar,Querétaro,4–1,Atlético
Mié,Tijuana,1–1,Monterrey
Mié,UANL,1–0,FC Juárez
Sáb,Toluca,2–1,UANL
Vie,Atlético,4–0,Puebla
Vie,Querétaro,0–1,Santos
Vie,Mazatlán,2–1,Necaxa
Sáb,Pachuca,3–2,FC Juárez
Sáb,Cruz Azul,3–0,Guadalajara
Sáb,Atlas,1–5,América
Dom,Monterrey,3–0,UNAM
Dom,Tijuana,1–1,León
Sáb,Guadalajara,1–2,León
Vie,Puebla,2–2,Atlas
Vie,FC Juárez,1–1,Toluca
Vie,Necaxa,3–1,Atlético
Dom,UNAM,3–3,Tijuana
Sáb,Santos,3–0,Cruz Azul
Sáb,Pachuca,1–2,Querétaro
Sáb,América,2–0,UANL
Dom,Monterrey,2–1,Mazatlán
Sáb,Cruz Azul,1–2,Necaxa
Vie,Querétaro,1–0,FC Juárez
Vie,Tijuana,2–2,Santos
Dom,Atlas,1–2,Monterrey
Sáb,León,2–1,Puebla
Sáb,UANL,5–1,Mazatlán
Sáb,Guadalajara,0–0,América
Dom,Atlético,2–1,Pachuca
Dom,Toluca,3–0,UNAM
Sáb,FC Juárez,4–3,Puebla
Vie,Puebla,2–3,UANL
Vie,Mazatlán,2–0,Tijuana
Vie,América,2–1,Atlético
Dom,Atlas,2–3,Querétaro
Sáb,Monterrey,0–2,Guadalajara
Sáb,Pachuca,2–3,Toluca
Sáb,UNAM,0–0,Cruz Azul
Dom,Necaxa,1–2,León
Dom,FC Juárez,2–1,Santos
Sáb,León,0–2,Querétaro
Vie,Mazatlán,0–4,UNAM
Vie,Tijuana,2–3,Necaxa
Dom,Toluca,4–1,Atlas
Sáb,UANL,0–3,Pachuca
Sáb,Guadalajara,3–2,Puebla
Sáb,Santos,1–1,América
Sáb,Cruz Azul,2–1,Monterrey
Lun,Atlético,2–3,FC Juárez
Sáb,Pachuca,0–1,Guadalajara
Vie,Querétaro,0–2,Mazatlán
Vie,Puebla,0–1,Cruz Azul
Vie,Necaxa,2–0,Santos
Sáb,América,5–1,Toluca
Sáb,Monterrey,3–3,UANL
Dom,Atlas,2–1,Atlético
Dom,UNAM,1–0,León
Dom,FC Juárez,0–1,Tijuana
Sáb,León,2–0,Monterrey
Vie,Mazatlán,0–2,FC Juárez
Vie,Tijuana,3–1,Puebla
Vie,Atlético,1–5,Toluca
Sáb,UANL,5–2,Necaxa
Sáb,Guadalajara,2–0,Querétaro
Sáb,Santos,0–2,Pachuca
Sáb,UNAM,2–1,América
Dom,Cruz Azul,2–2,Atlas
Sáb,FC Juárez,1–1,León
Vie,Puebla,1–2,América
Vie,Querétaro,1–1,UNAM
Sáb,Toluca,0–1,Cruz Azul
Sáb,UANL,4–1,Tijuana
Sáb,Pachuca,1–1,Mazatlán
Sáb,Atlas,0–1,Guadalajara
Dom,Necaxa,2–5,Monterrey
Dom,Santos,0–3,Atlético
Jue,Necaxa,(3) 1–1 (2),Querétaro
Jue,Pachuca,(3) 0–0 (5),UNAM
Dom,Pachuca,2–1,Necaxa
Mié,Guadalajara,1–0,Toluca
Mié,Pachuca,1–1,América
Jue,UNAM,0–2,Cruz Azul
Jue,UANL,1–2,Monterrey
Sáb,América,1–1,Pachuca
Sáb,Toluca,0–0,Guadalajara
Dom,Cruz Azul,2–2,UNAM
Dom,Monterrey,1–1,UANL
Mié,Guadalajara,0–0,América
Jue,Monterrey,0–1,Cruz Azul
Sáb,América,1–0,Guadalajara
Dom,Cruz Azul,1–2,Monterrey
Jue,Cruz Azul,1–1,América
Dom,América,1–0,Cruz Azul
Sáb,Cruz Azul,3–0,Puebla
Vie,Veracruz,0–2,UNAM
Vie,Atlas,0–0,Querétaro
Dom,Toluca,2–0,Morelia
Dom,Santos,2–1,Lobos BUAP
Sáb,Tijuana,2–1,Guadalajara
Sáb,Pachuca,0–1,Monterrey
Sáb,UANL,2–0,León
Dom,Necaxa,2–1,América
Sáb,Querétaro,1–0,Pachuca
Vie,Morelia,3–1,Santos
Vie,Puebla,2–1,Toluca
Dom,UNAM,5–3,Necaxa
Dom,Lobos BUAP,2–0,Veracruz
Dom,UANL,1–0,Tijuana
Sáb,América,3–0,Atlas
Sáb,Guadalajara,0–1,Cruz Azul
Dom,León,0–2,Monterrey
Sáb,Necaxa,1–0,Lobos BUAP
Vie,Veracruz,2–2,Morelia
Vie,Atlas,0–3,UNAM
Dom,Toluca,2–2,Guadalajara
Dom,Santos,2–0,Puebla
Sáb,Pachuca,1–3,América
Sáb,Cruz Azul,1–0,UANL
Sáb,Monterrey,2–1,Querétaro
Dom,Tijuana,1–1,León
Sáb,Lobos BUAP,0–0,Atlas
Vie,Puebla,1–2,Veracruz
Vie,Morelia,2–1,Necaxa
Dom,UNAM,0–0,Pachuca
Dom,Guadalajara,1–2,Santos
Sáb,León,4–0,Querétaro
Sáb,UANL,1–2,Toluca
Sáb,América,3–0,Monterrey
Dom,Tijuana,1–1,Cruz Azul
Sáb,Cruz Azul,3–0,León
Vie,Veracruz,0–2,Guadalajara
Vie,Atlas,0–1,Morelia
Dom,Toluca,3–0,Tijuana
Dom,Santos,3–1,UANL
Sáb,Pachuca,3–0,Lobos BUAP
Sáb,Necaxa,2–2,Puebla
Sáb,Querétaro,1–1,América
Sáb,Monterrey,1–0,UNAM
Mar,UNAM,0–1,Querétaro
Mar,Morelia,1–1,Pachuca
Mar,Puebla,2–0,Atlas
Mar,Guadalajara,1–0,Necaxa
Mié,Cruz Azul,1–0,Toluca
Mié,León,2–0,América
Mié,Tijuana,2–2,Santos
Mié,UANL,4–0,Veracruz
Mié,Lobos BUAP,1–2,Monterrey
Sáb,Pachuca,2–0,Puebla
Vie,Atlas,0–1,Guadalajara
Dom,Querétaro,2–0,Lobos BUAP
Dom,Toluca,1–2,León
Dom,Santos,1–1,Cruz Azul
Sáb,América,2–2,UNAM
Sáb,Veracruz,1–0,Tijuana
Sáb,Necaxa,1–1,UANL
Sáb,Monterrey,2–2,Morelia
Sáb,Cruz Azul,4–1,Veracruz
Vie,Morelia,1–4,Querétaro
Vie,Tijuana,1–0,Necaxa
Vie,Puebla,2–1,Monterrey
Dom,Toluca,2–1,Santos
Dom,Lobos BUAP,0–2,América
Sáb,UANL,3–1,Atlas
Sáb,León,1–2,UNAM
Sáb,Guadalajara,1–3,Pachuca
Sáb,Querétaro,0–1,Puebla
Vie,Veracruz,2–3,Toluca
Dom,UNAM,4–2,Lobos BUAP
Dom,Santos,3–0,León
Dom,Atlas,0–1,Tijuana
Sáb,Pachuca,1–1,UANL
Sáb,América,2–1,Morelia
Sáb,Necaxa,2–0,Cruz Azul
Sáb,Monterrey,2–4,Guadalajara
Sáb,Toluca,3–2,Necaxa
Vie,Morelia,0–0,UNAM
Vie,Puebla,2–3,América
Dom,Guadalajara,1–1,Querétaro
Dom,Santos,1–1,Veracruz
Sáb,León,0–1,Lobos BUAP
Sáb,Tijuana,1–0,Pachuca
Sáb,Cruz Azul,2–0,Atlas
Dom,UANL,0–0,Monterrey
Sáb,Querétaro,0–2,UANL
Vie,Veracruz,0–4,León
Vie,Atlas,2–0,Toluca
Dom,UNAM,2–2,Puebla
Dom,Lobos BUAP,3–1,Morelia
Dom,América,1–1,Guadalajara
Sáb,Pachuca,3–1,Cruz Azul
Sáb,Necaxa,0–1,Santos
Sáb,Monterrey,3–0,Tijuana
Sáb,Cruz Azul,2–1,Monterrey
Vie,Santos,3–1,Atlas
Vie,Veracruz,0–0,Necaxa
Dom,Toluca,2–1,Pachuca
Dom,Puebla,2–2,Lobos BUAP
Sáb,UANL,2–3,América
Sáb,León,1–2,Morelia
Sáb,Tijuana,1–1,Querétaro
Sáb,Guadalajara,1–2,UNAM
Sáb,Querétaro,2–0,Cruz Azul
Vie,Atlas,4–3,Veracruz
Dom,Lobos BUAP,1–1,Guadalajara
Dom,UNAM,3–3,UANL
Dom,Morelia,2–0,Puebla
Sáb,América,3–0,Tijuana
Sáb,Pachuca,1–1,Santos
Sáb,Necaxa,0–2,León
Sáb,Monterrey,2–1,Toluca
Sáb,Necaxa,2–2,Atlas
Vie,Santos,1–0,Monterrey
Vie,Veracruz,2–3,Pachuca
Dom,Toluca,4–0,Querétaro
Sáb,Tijuana,0–1,UNAM
Sáb,UANL,2–2,Lobos BUAP
Sáb,Guadalajara,1–2,Morelia
Sáb,Cruz Azul,0–0,América
Dom,León,0–4,Puebla
Sáb,Pachuca,6–2,Necaxa
Vie,Morelia,0–2,UANL
Vie,Puebla,2–2,Guadalajara
Dom,UNAM,1–2,Cruz Azul
Dom,Querétaro,2–1,Santos
Sáb,América,1–1,Toluca
Sáb,Monterrey,2–0,Veracruz
Sáb,Lobos BUAP,3–1,Tijuana
Dom,Atlas,0–0,León
Sáb,Cruz Azul,2–1,Lobos BUAP
Vie,Veracruz,2–2,Querétaro
Vie,Atlas,0–0,Pachuca
Dom,Toluca,0–1,UNAM
Sáb,Tijuana,2–3,Morelia
Sáb,León,0–1,Guadalajara
Sáb,UANL,6–1,Puebla
Sáb,Necaxa,1–1,Monterrey
Dom,Santos,1–1,América
Sáb,Querétaro,1–0,Necaxa
Vie,Morelia,0–2,Cruz Azul
Vie,Puebla,0–0,Tijuana
Dom,UNAM,1–1,Santos
Dom,Lobos BUAP,2–0,Toluca
Sáb,América,4–1,Veracruz
Sáb,Pachuca,1–1,León
Sáb,Guadalajara,0–1,UANL
Sáb,Monterrey,3–1,Atlas
Mié,Querétaro,0–2,Cruz Azul
Mié,Monterrey,1–0,Santos
Jue,Toluca,2–2,América
Jue,UANL,2–1,UNAM
Dom,UNAM,3–1,UANL
Sáb,Cruz Azul,1–1,Querétaro
Sáb,Santos,0–2,Monterrey
Dom,América,3–2,Toluca
Mié,Monterrey,1–0,Cruz Azul
Jue,UNAM,1–1,América
Sáb,Cruz Azul,1–0,Monterrey
Dom,América,6–1,UNAM
Jue,América,0–0,Cruz Azul
Dom,Cruz Azul,0–2,América
Sáb,Querétaro,1–2,Atlas
Sáb,Monterrey,5–0,Pachuca
Vie,Morelia,1–3,Toluca
Vie,Puebla,1–1,Cruz Azul
Dom,UNAM,0–0,Veracruz
Dom,Lobos BUAP,2–0,Santos
Sáb,León,2–2,UANL
Sáb,Guadalajara,2–0,Tijuana
Sáb,Monterrey,2–2,León
Vie,Veracruz,0–1,Lobos BUAP
Vie,Atlas,1–2,América
Dom,Toluca,2–0,Puebla
Sáb,Cruz Azul,0–1,Guadalajara
Sáb,Tijuana,0–3,UANL
Sáb,Pachuca,3–0,Querétaro
Sáb,Necaxa,2–1,UNAM
Dom,Santos,1–0,Morelia
Sáb,Querétaro,1–2,Monterrey
Vie,Morelia,2–0,Veracruz
Vie,Puebla,1–1,Santos
Dom,UNAM,2–2,Atlas
Dom,Lobos BUAP,2–3,Necaxa
Sáb,América,3–0,Pachuca
Sáb,UANL,0–1,Cruz Azul
Dom,Guadalajara,1–0,Toluca
Dom,León,0–1,Tijuana
Sáb,Cruz Azul,1–0,Tijuana
Sáb,Monterrey,3–2,América
Vie,Veracruz,0–1,Puebla
Vie,Atlas,3–1,Lobos BUAP
Dom,Toluca,0–1,UANL
Dom,Querétaro,0–4,León
Sáb,Pachuca,1–0,UNAM
Sáb,Necaxa,0–0,Morelia
Dom,Santos,1–0,Guadalajara
Sáb,América,2–0,Querétaro
Vie,Morelia,1–2,Atlas
Vie,Puebla,1–4,Necaxa
Dom,UNAM,1–1,Monterrey
Dom,Lobos BUAP,1–1,Pachuca
Sáb,León,2–0,Cruz Azul
Sáb,UANL,2–1,Santos
Sáb,Tijuana,2–0,Toluca
Lun,Guadalajara,0–0,Veracruz
Sáb,Monterrey,4–0,Lobos BUAP
Sáb,Querétaro,0–2,UNAM
Vie,Veracruz,0–2,UANL
Vie,Atlas,1–2,Puebla
Dom,Toluca,1–1,Cruz Azul
Sáb,Pachuca,2–0,Morelia
Sáb,América,0–3,León
Sáb,Necaxa,3–3,Guadalajara
Dom,Santos,1–1,Tijuana
Sáb,Cruz Azul,1–2,Santos
Vie,Morelia,2–3,Monterrey
Vie,Tijuana,3–0,Veracruz
Vie,Puebla,1–1,Pachuca
Dom,UNAM,1–0,América
Dom,Lobos BUAP,3–1,Querétaro
Sáb,UANL,3–2,Necaxa
Sáb,León,3–0,Toluca
Sáb,Guadalajara,3–0,Atlas
Sáb,Querétaro,3–0,Morelia
Vie,Atlas,0–1,UANL
Vie,Veracruz,1–1,Cruz Azul
Dom,UNAM,1–3,León
Sáb,Monterrey,0–0,Puebla
Sáb,América,3–0,Lobos BUAP
Sáb,Pachuca,3–1,Guadalajara
Sáb,Necaxa,1–2,Tijuana
Dom,Santos,4–0,Toluca
Sáb,Cruz Azul,2–1,Necaxa
Vie,Tijuana,3–1,Atlas
Vie,Morelia,2–2,América
Dom,Toluca,3–1,Veracruz
Dom,Lobos BUAP,2–1,UNAM
Sáb,León,3–0,Santos
Sáb,UANL,3–0,Pachuca
Sáb,Guadalajara,0–2,Monterrey
Lun,Puebla,1–0,Querétaro
Mar,América,1–3,Necaxa
Sáb,Pachuca,4–0,Tijuana
Vie,Veracruz,2–2,Santos
Vie,Atlas,0–2,Cruz Azul
Dom,UNAM,2–2,Morelia
Dom,Lobos BUAP,0–1,León
Sáb,América,1–0,Puebla
Sáb,Monterrey,1–1,UANL
Sáb,Necaxa,1–1,Toluca
Sáb,Querétaro,0–0,Guadalajara
Sáb,Cruz Azul,4–1,Pachuca
Vie,Morelia,1–1,Lobos BUAP
Vie,Puebla,1–0,UNAM
Dom,Toluca,2–0,Atlas
Sáb,Guadalajara,0–2,América
Sáb,Tijuana,1–0,Monterrey
Sáb,UANL,4–1,Querétaro
Dom,Santos,1–2,Necaxa
Dom,León,2–0,Veracruz
Sáb,Querétaro,1–0,Tijuana
Vie,Morelia,2–3,León
Vie,Atlas,1–0,Santos
Dom,UNAM,2–1,Guadalajara
Dom,Lobos BUAP,0–4,Puebla
Sáb,Pachuca,3–2,Toluca
Sáb,América,3–0,UANL
Sáb,Monterrey,2–2,Cruz Azul
Sáb,Necaxa,2–0,Veracruz
Sáb,Cruz Azul,3–0,Querétaro
Vie,Veracruz,0–1,Atlas
Vie,Puebla,1–1,Morelia
Dom,Toluca,5–1,Monterrey
Dom,Santos,0–0,Pachuca
Sáb,UANL,2–0,UNAM
Sáb,León,2–1,Necaxa
Sáb,Tijuana,3–2,América
Sáb,Guadalajara,0–1,Lobos BUAP
Sáb,Querétaro,0–0,Toluca
Vie,Puebla,0–3,León
Vie,Atlas,1–2,Necaxa
Dom,UNAM,1–0,Tijuana
Dom,Lobos BUAP,0–3,UANL
Dom,América,0–0,Cruz Azul
Sáb,Pachuca,9–2,Veracruz
Sáb,Morelia,1–0,Guadalajara
Dom,Monterrey,4–0,Santos
Sáb,Necaxa,2–2,Pachuca
Sáb,León,5–2,Atlas
Vie,Tijuana,1–2,Lobos BUAP
Vie,Veracruz,0–1,Monterrey
Dom,Toluca,3–2,América
Dom,Santos,2–1,Querétaro
Sáb,Cruz Azul,2–1,UNAM
Sáb,UANL,3–3,Morelia
Sáb,Guadalajara,1–3,Puebla
Sáb,Pachuca,1–0,Atlas
Vie,Puebla,1–1,UANL
Vie,Morelia,1–4,Tijuana
Dom,UNAM,2–2,Toluca
Dom,Lobos BUAP,1–4,Cruz Azul
Dom,Querétaro,2–1,Veracruz
Sáb,América,1–0,Santos
Sáb,Monterrey,2–2,Necaxa
Sáb,Guadalajara,2–1,León
Sáb,Cruz Azul,1–1,Morelia
Vie,Veracruz,0–2,América
Dom,Toluca,4–0,Lobos BUAP
Dom,Atlas,2–0,Monterrey
Dom,Santos,5–2,UNAM
Sáb,UANL,2–1,Guadalajara
Sáb,León,2–1,Pachuca
Sáb,Tijuana,4–0,Puebla
Sáb,Necaxa,1–0,Querétaro
Mié,Pachuca,1–1,UANL
Mié,Tijuana,1–3,León
Jue,Necaxa,1–0,Monterrey
Jue,América,3–1,Cruz Azul
Dom,Cruz Azul,1–0,América
Sáb,UANL,1–1,Pachuca
Sáb,León,2–1,Tijuana
Dom,Monterrey,1–0,Necaxa
Mié,Monterrey,1–0,UANL
Jue,América,0–1,León
Sáb,UANL,1–0,Monterrey
Dom,León,0–1,América
Jue,UANL,1–0,León
Dom,León,0–0,UANL
Sáb,Lobos BUAP,2–2,Santos
Sáb,América,0–1,Querétaro
Vie,Morelia,0–0,Monterrey
Vie,Tijuana,0–2,Cruz Azul
Dom,UNAM,1–0,Pachuca
Dom,Veracruz,0–2,Necaxa
Sáb,UANL,5–0,Puebla
Sáb,León,0–3,Atlas
Sáb,Guadalajara,0–0,Toluca
Sáb,Cruz Azul,1–1,Guadalajara
Sáb,Querétaro,0–4,Lobos BUAP
Vie,Puebla,1–1,Morelia
Vie,Atlas,2–1,UNAM
Dom,Toluca,3–1,León
Dom,Santos,1–1,UANL
Sáb,Monterrey,1–0,Veracruz
Sáb,Pachuca,0–2,América
Sáb,Necaxa,1–0,Tijuana
Sáb,Lobos BUAP,3–2,Pachuca
Vie,Morelia,1–1,Santos
Vie,Tijuana,0–3,Monterrey
Dom,Toluca,3–2,Atlas
Dom,Veracruz,2–0,Puebla
Sáb,UANL,1–1,Querétaro
Sáb,León,2–2,Cruz Azul
Sáb,América,2–1,UNAM
Sáb,Guadalajara,2–2,Necaxa
Sáb,Cruz Azul,0–0,Toluca
Sáb,Querétaro,2–1,Morelia
Vie,Puebla,1–1,Tijuana
Vie,Atlas,0–1,América
Dom,UNAM,2–0,Lobos BUAP
Dom,Santos,2–3,Veracruz
Sáb,Monterrey,4–1,Guadalajara
Sáb,Pachuca,2–1,UANL
Sáb,Necaxa,0–3,León
Sáb,Cruz Azul,2–1,Atlas
Sáb,Lobos BUAP,2–3,América
Vie,Tijuana,2–0,Santos
Vie,Morelia,1–2,Pachuca
Dom,Toluca,0–0,Necaxa
Sáb,UANL,2–0,UNAM
Sáb,Veracruz,1–1,Querétaro
Sáb,León,1–2,Monterrey
Sáb,Guadalajara,0–1,Puebla
Mar,Pachuca,4–1,Veracruz
Mar,Atlas,1–1,Lobos BUAP
Mar,Querétaro,1–3,Tijuana
Mar,UNAM,1–2,Morelia
Mié,América,2–2,UANL
Mié,Puebla,0–1,León
Mié,Santos,1–1,Guadalajara
Mié,Monterrey,4–1,Toluca
Mié,Necaxa,1–1,Cruz Azul
Sáb,Cruz Azul,1–1,Monterrey
Vie,Tijuana,2–1,Pachuca
Dom,Toluca,2–1,Puebla
Dom,Veracruz,1–0,UNAM
Sáb,UANL,3–2,Lobos BUAP
Sáb,León,1–2,Santos
Sáb,Morelia,2–0,América
Sáb,Necaxa,2–1,Atlas
Sáb,Guadalajara,0–0,Querétaro
Sáb,Querétaro,1–2,León
Sáb,Lobos BUAP,1–3,Morelia
Vie,Puebla,0–0,Cruz Azul
Dom,UNAM,0–2,Tijuana
Dom,Santos,0–0,Toluca
Sáb,Monterrey,1–0,Necaxa
Sáb,Pachuca,1–3,Guadalajara
Sáb,América,2–0,Veracruz
Sáb,Cruz Azul,2–1,Santos
Vie,Morelia,3–3,UANL
Vie,Tijuana,1–1,América
Dom,Toluca,3–2,Querétaro
Dom,Veracruz,0–1,Lobos BUAP
Sáb,Monterrey,2–1,Atlas
Sáb,León,3–1,Pachuca
Sáb,Necaxa,1–1,Puebla
Sáb,Guadalajara,1–1,UNAM
Mar,Guadalajara,1–2,Lobos BUAP
Mar,Puebla,1–2,Atlas
Mar,Tijuana,0–1,UANL
Mar,Veracruz,2–1,Morelia
Mié,León,2–1,América
Mié,Necaxa,1–0,Querétaro
Mié,Toluca,2–1,UNAM
Mié,Pachuca,4–0,Cruz Azul
Sáb,Querétaro,2–2,Monterrey
Sáb,Lobos BUAP,0–3,León
Vie,Morelia,3–0,Tijuana
Vie,Atlas,2–0,Veracruz
Dom,UNAM,1–4,Cruz Azul
Dom,Santos,0–0,Puebla
Sáb,UANL,1–0,Guadalajara
Sáb,Pachuca,0–0,Necaxa
Sáb,Toluca,1–2,América
Mié,Toluca,3–1,Lobos BUAP
Sáb,Cruz Azul,1–3,América
Vie,Tijuana,0–0,Veracruz
Vie,Puebla,2–2,Querétaro
Dom,Santos,0–1,Atlas
Sáb,Monterrey,2–0,Pachuca
Sáb,León,1–0,UANL
Sáb,Necaxa,0–0,UNAM
Sáb,Guadalajara,1–2,Morelia
Mar,Lobos BUAP,1–2,Tijuana
Mar,Querétaro,1–2,Cruz Azul
Mar,UANL,1–0,Veracruz
Mar,UNAM,2–0,León
Mar,Atlas,0–1,Morelia
Mié,Santos,3–2,Necaxa
Mié,Pachuca,2–2,Toluca
Mié,América,2–1,Guadalajara
Mié,Puebla,2–0,Monterrey
Sáb,Lobos BUAP,3–0,Cruz Azul
Sáb,Querétaro,1–2,Santos
Vie,Morelia,0–0,León
Vie,Atlas,1–0,Tijuana
Dom,UNAM,0–1,Monterrey
Sáb,UANL,3–0,Toluca
Sáb,Pachuca,1–0,Puebla
Sáb,América,0–1,Necaxa
Dom,Veracruz,2–3,Guadalajara
Sáb,Cruz Azul,1–2,UANL
Sáb,Querétaro,2–2,Atlas
Vie,Puebla,3–0,UNAM
Dom,Toluca,0–1,Morelia
Sáb,Monterrey,2–0,América
Sáb,León,6–2,Veracruz
Sáb,Necaxa,5–0,Lobos BUAP
Sáb,Guadalajara,3–1,Tijuana
Dom,Santos,2–2,Pachuca
Mié,Atlas,1–1,UANL
Sáb,Lobos BUAP,2–1,Monterrey
Vie,Morelia,1–2,Cruz Azul
Vie,Tijuana,2–1,León
Dom,UNAM,2–2,Santos
Sáb,Pachuca,0–1,Querétaro
Sáb,América,1–1,Puebla
Sáb,Guadalajara,1–2,Atlas
Dom,UANL,1–0,Necaxa
Dom,Veracruz,0–1,Toluca
Jue,Monterrey,1–1,Santos
Sáb,Querétaro,1–1,UNAM
Sáb,Cruz Azul,1–0,Veracruz
Vie,Puebla,0–1,Lobos BUAP
Vie,Atlas,1–1,Pachuca
Dom,Toluca,3–1,Tijuana
Sáb,Monterrey,2–0,UANL
Sáb,León,0–2,Guadalajara
Sáb,Necaxa,1–2,Morelia
Dom,Santos,0–1,América
Mié,Toluca,2–1,Morelia
Mié,León,1–1,UANL
Jue,Cruz Azul,0–0,América
Jue,Atlas,1–2,Monterrey
Sáb,UANL,1–1,León
Sáb,Morelia,2–1,Toluca
Dom,Monterrey,4–1,Atlas
Dom,América,0–0,Cruz Azul
Mié,América,0–1,UANL
Jue,Morelia,0–1,Monterrey
Sáb,UANL,3–0,América
Dom,Monterrey,4–0,Morelia
Jue,UANL,1–1,Monterrey
Dom,Monterrey,1–2,UANL
Sáb,Cruz Azul,0–0,Tijuana
Vie,Puebla,2–1,UANL
Vie,Atlas,1–2,León
Dom,Toluca,1–1,Guadalajara
Sáb,Monterrey,1–1,Morelia
Sáb,Pachuca,2–3,UNAM
Sáb,Necaxa,0–0,Veracruz
Dom,Santos,4–2,Lobos BUAP
Dom,Querétaro,0–1,América
Sáb,América,2–2,Pachuca
Sáb,Lobos BUAP,0–2,Querétaro
Vie,Tijuana,1–0,Necaxa
Vie,Morelia,1–0,Puebla
Dom,UNAM,3–1,Atlas
