,dayofweek,home_team,home_xg,score,away_xg,away_team
264,Sáb,Atlas,1.7,1–2,1.0,Guadalajara
265,Dom,FC Juárez,0.6,1–4,4.4,León
266,Sáb,Atlético,1.6,0–1,0.6,Puebla
267,Vie,Tijuana,2.7,3–2,1.5,Pachuca
268,Vie,Morelia,3.1,4–0,0.7,Querétaro
269,Dom,Toluca,2.3,2–3,2.1,Atlas
270,Sáb,UANL,1.3,3–2,2.2,FC Juárez
271,Sáb,León,3.3,3–1,0.3,UNAM
272,Sáb,Guadalajara,1.3,1–1,1.0,Monterrey
273,Dom,Santos,1.9,2–1,1.4,Necaxa
274,Dom,América,1.3,0–1,1.5,Cruz Azul
275,Sáb,Monterrey,,,,Santos
276,Sáb,Puebla,,,,Cruz Azul
277,Vie,Morelia,,,,Atlético
278,Dom,UNAM,,,,Tijuana
279,Sáb,América,,,,León
280,Sáb,Pachuca,,,,Toluca
281,Sáb,Necaxa,,,,UANL
282,Dom,Querétaro,,,,Guadalajara
283,Dom,FC Juárez,,,,Atlas
284,Vie,Cruz Azul,,,,UNAM
285,Jue,Atlético,,,,Pachuca
286,Jue,Atlas,,,,Monterrey
287,Sáb,Toluca,,,,FC Juárez
288,Sáb,Santos,,,,América
289,Vie,UANL,,,,Querétaro
290,Vie,León,,,,Puebla
291,Vie,Guadalajara,,,,Morelia
292,Sáb,Tijuana,,,,Necaxa
293,Vie,Atlético,,,,Atlas
294,Vie,Morelia,,,,UANL
295,Dom,UNAM,,,,Puebla
296,Sáb,León,,,,Cruz Azul
297,Sáb,América,,,,Toluca
298,Sáb,Necaxa,,,,Guadalajara
299,Sáb,Monterrey,,,,Tijuana
300,Dom,FC Juárez,,,,Pachuca
301,Dom,Querétaro,,,,Santos
302,Jue,Tijuana,,,,FC Juárez
303,Vie,Puebla,,,,Morelia
304,Vie,Atlas,,,,UNAM
305,Dom,Toluca,,,,León
306,Dom,Santos,,,,Atlético
307,Sáb,Cruz Azul,,,,Querétaro
308,Sáb,Pachuca,,,,Necaxa
309,Sáb,UANL,,,,Monterrey
310,Dom,Guadalajara,,,,América
311,Vie,Querétaro,,,,Atlas
312,Vie,Morelia,,,,Pachuca
313,Dom,Toluca,,,,UANL
314,Sáb,América,,,,Atlético
315,Sáb,Monterrey,,,,Cruz Azul
316,Sáb,León,,,,Tijuana
317,Sáb,Guadalajara,,,,Santos
318,Dom,FC Juárez,,,,Puebla
319,Dom,Necaxa,,,,UNAM
320,Jue,Atlético,,,,Toluca
321,Vie,Puebla,,,,Monterrey
322,Vie,Atlas,,,,León
323,Dom,UNAM,,,,Guadalajara
324,Dom,Querétaro,,,,FC Juárez
325,Dom,Santos,,,,Morelia
326,Sáb,Cruz Azul,,,,Necaxa
327,Sáb,UANL,,,,Tijuana
328,Sáb,Pachuca,,,,América
329,Vie,Santos,,,,Toluca
330,Vie,Tijuana,,,,Atlético
331,Dom,UNAM,,,,Querétaro
332,Dom,Guadalajara,,,,Puebla
333,Dom,FC Juárez,,,,Cruz Azul
334,Sáb,León,,,,UANL
335,Sáb,Necaxa,,,,Atlas
336,Sáb,Monterrey,,,,Pachuca
337,Dom,Morelia,,,,América
